Exodus 18:2	Then Jethro, Moses' father in law, took Zipporah, Moses' wife, after he had sent her back,
Exodus 19:13	There shall not an hand touch it, but he shall surely be stoned, or shot through; whether it be beast or man, it shall not live: when the trumpet soundeth long, they shall come up to the mount.
Exodus 19:14	And Moses went down from the mount unto the people, and sanctified the people; and they washed their clothes.
Exodus 19:15	And he said unto the people, Be ready against the third day: come not at your wives.
Exodus 19:16	And it came to pass on the third day in the morning, that there were thunders and lightnings, and a thick cloud upon the mount, and the voice of the trumpet exceeding loud; so that all the people that was in the camp trembled.
Exodus 19:17	And Moses brought forth the people out of the camp to meet with God; and they stood at the nether part of the mount.
Exodus 19:18	And mount Sinai was altogether on a smoke, because the LORD descended upon it in fire: and the smoke thereof ascended as the smoke of a furnace, and the whole mount quaked greatly.
Exodus 19:19	And when the voice of the trumpet sounded long, and waxed louder and louder, Moses spake, and God answered him by a voice.
Exodus 19:20	And the LORD came down upon mount Sinai, on the top of the mount: and the LORD called Moses up to the top of the mount; and Moses went up.
Exodus 19:21	And the LORD said unto Moses, Go down, charge the people, lest they break through unto the LORD to gaze, and many of them perish.
Exodus 19:22	And let the priests also, which come near to the LORD, sanctify themselves, lest the LORD break forth upon them.
Exodus 19:23	And Moses said unto the LORD, The people cannot come up to mount Sinai: for thou chargedst us, saying, Set bounds about the mount, and sanctify it.
Exodus 19:24	And the LORD said unto him, Away, get thee down, and thou shalt come up, thou, and Aaron with thee: but let not the priests and the people break through to come up unto the LORD, lest he break forth upon them.
